"Year","Population","Yearly %
Change","Yearly
Change","Migrants (net)","Median Age","Fertility Rate","Density (P/Km²)","Urban
Pop %","Urban Population","Asia's
Share of
World Pop","World Population","Asia
Rank"
"2024","4806898007","0.60 %","28893521","-2335416","32.1","1.88","155","52.9 %","2545230547","58.9 %","8161972572","1"
"2023","4778004486","0.64 %","30343453","-2603562","31.7","1.88","154","52.3 %","2500201501","59.0 %","8091734930","1"
"2022","4747661033","0.62 %","29344666","-1187459","31.3","1.90","153","51.7 %","2454566304","59.2 %","8021407192","1"
"2021","4718316367","0.64 %","30202996","-1766619","30.7","1.96","152","51.0 %","2408318385","59.3 %","7954448391","1"
"2020","4688113371","0.77 %","35728085","-1766619","30.6","1.97","151","50.4 %","2361464416","59.4 %","7887001292","1"
"2019","4652385286","0.84 %","38761772","-1766619","29.2","2.17","150","49.7 %","2314051549","59.6 %","7811293698","1"
"2018","4613623514","0.90 %","41144700","-1766619","29.2","2.17","149","49.1 %","2266130580","59.7 %","7729902781","1"
"2017","4572478814","0.97 %","44063631","-1766619","29.2","2.17","147","48.5 %","2217723679","59.8 %","7645617954","1"
"2016","4528415183","1.01 %","45107290","-1766619","29.2","2.17","146","47.9 %","2168879760","59.9 %","7558554526","1"
"2015","4483307893","1.12 %","48697044","-3099497","28.9","2.23","144","47.3 %","2119873398","63.8 %","7470491872","1"
"2010","4239822673","1.20 %","49179217","-1253476","27.4","2.32","137","44.3 %","1877015239","64.4 %","7021732148","1"
"2005","3993926587","1.28 %","49229257","-1314411","26.0","2.40","129","40.8 %","1631488737","64.7 %","6586970132","1"
"2000","3747780304","1.45 %","52019959","-1091910","24.7","2.58","121","37.3 %","1399722305","65.1 %","6171702993","1"
"1995","3487680510","1.67 %","55559580","-969427","23.2","2.75","112","34.9 %","1215521041","65.5 %","5758878982","1"
"1990","3209882612","2.00 %","60583773","-1662242","21.8","3.31","103","32.4 %","1039593625","65.9 %","5327803110","1"
"1985","2906963746","2.00 %","54927445","-763186","20.6","3.59","94","29.9 %","868117794","65.4 %","4868943465","1"
"1980","2632326521","1.96 %","48631299","-829610","19.8","3.91","85","27.2 %","716918680","64.7 %","4447606236","1"
"1975","2389170026","2.25 %","50322197","-345356","18.9","4.43","77","25.1 %","598731099","64.7 %","4070735277","1"
"1970","2137559039","2.44 %","48582288","53359","18.3","5.59","69","23.7 %","507088632","64.1 %","3694683794","1"
"1965","1894647600","2.28 %","40459734","-275860","18.7","5.95","61","15.8 %","298616710","62.8 %","3334533703","1"
"1960","1692348932","2.12 %","33733779","285864","19.6","5.18","55","21.3 %","360171131","61.8 %","3015470894","1"
"1955","1523680036","2.18 %","31120924","540008","20.0","5.85","49","19.6 %","298616710","61.1 %","2740213792","1"
